City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Rikitea,PF,75.83,broken clouds,-23.12,-134.97,Pension Maro'i
11,Hilo,US,80.6,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
13,Touros,BR,78.8,scattered clouds,-5.2,-35.46,INN NEW HORIZON
15,Vaini,TO,84.2,scattered clouds,-21.2,-175.2,Keleti Beach Resort
18,Atuona,PF,78.8,light rain,-9.8,-139.03,Villa Enata
19,Faanui,PF,81.25,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
21,Oistins,BB,77.0,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
23,Manacapuru,BR,75.2,thunderstorm,-3.3,-60.62,Novo Hotel
28,Kavieng,PG,82.69,moderate rain,-2.57,150.8,Nusa Island Retreat
29,Souillac,MU,75.2,shower rain,-20.52,57.52,Bils' Villa
30,Beira,MZ,82.4,scattered clouds,-19.84,34.84,Beira Terrace Hotel
33,Kununurra,AU,87.8,broken clouds,-15.77,128.73,Hotel Kununurra
38,Miri,MY,78.8,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
42,Makakilo City,US,75.2,light rain,21.35,-158.09,Marriott's Ko Olina Beach Club
46,Butaritari,KI,82.06,scattered clouds,3.07,172.79,Isles Sunset Lodge
50,Hithadhoo,MV,81.28,clear sky,-0.6,73.08,Scoop Guest House
51,Boa Vista,BR,80.6,scattered clouds,2.82,-60.67,Aipana Plaza Hotel
63,Kahului,US,80.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
80,Meulaboh,ID,79.5,broken clouds,4.14,96.13,Kost Pria
88,Mtambile,TZ,78.71,moderate rain,-5.38,39.7,
89,Aitape,PG,86.59,heavy intensity rain,-3.14,142.35,
90,Airai,TL,79.93,scattered clouds,-8.93,125.41,Juvinal Martin
95,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
103,Avarua,CK,78.8,scattered clouds,-21.21,-159.78,Paradise Inn
118,Cabo San Lucas,MX,75.2,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
130,Bembereke,BJ,78.17,scattered clouds,10.23,2.66,Hotel Bio Guera
135,Marawi,PH,82.99,scattered clouds,8.0,124.29,Derogongan Residence
147,Loanda,AO,78.8,broken clouds,-8.84,13.23,EPIC SANA Luanda
153,Na Wa,TH,77.0,clear sky,17.49,104.1,อิสาน​บ้านจิ๊ก
156,Umm Bab,QA,75.2,broken clouds,25.21,50.81,
164,Bambanglipuro,ID,84.42,scattered clouds,-7.95,110.28,Puri Brata
180,Samarai,PG,82.08,broken clouds,-10.62,150.67,Nuli Sapi
197,Barabai,ID,84.58,overcast clouds,-2.58,115.38,Joko Homestay
198,Road Town,VG,78.01,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
199,Vila Velha,BR,75.2,broken clouds,-20.33,-40.29,Hotel Vitória Palace
202,Formosa,AR,80.6,clear sky,-26.18,-58.18,Asterión Hotel
204,Kapaa,US,80.6,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
206,Sotouboua,TG,75.2,broken clouds,8.57,0.98,Hôtel Les Pros
212,Bambous Virieux,MU,75.2,shower rain,-20.34,57.76,Casa Tia Villa
214,San Policarpo,PH,82.96,overcast clouds,12.18,125.51,JM Lodge
215,Nha Trang,VN,77.0,moderate rain,12.25,109.18,Hanoi Golden Hotel
217,Dingle,PH,84.18,broken clouds,11.0,122.67,SEGAYA PROPERTY
222,Tartagal,AR,76.84,broken clouds,-22.52,-63.8,Almuñecar Hotel
224,Mogadishu,SO,79.21,moderate rain,2.04,45.34,Hotel Juba
225,Isangel,VU,82.4,scattered clouds,-19.55,169.27,Volcano Sea View Tree House
229,Puerto Escondido,MX,82.4,clear sky,15.85,-97.07,Aldea del Bazar Hotel and Spa
232,San Rafael,AR,78.55,clear sky,-34.62,-68.33,Hotel San Rafael
233,Lorengau,PG,84.52,light rain,-2.02,147.27,Lorengau Harbourside Hotel
234,Bathsheba,BB,77.0,scattered clouds,13.22,-59.52,Atlantis Hotel
238,Anahuac,MX,80.6,scattered clouds,27.23,-100.15,Rancho Guadalupe
241,Muli,MV,82.71,broken clouds,2.92,73.57,Medhufushi Island Resort
242,Byron Bay,AU,86.0,clear sky,-28.65,153.62,Backpackers Inn on the Beach
244,Escuinapa,MX,77.0,clear sky,22.85,-105.8,""" Hotel IQ "" de Escuinapa"
248,Port-Gentil,GA,78.39,moderate rain,-0.72,8.78,Fengshui Residence
252,Progreso,MX,78.8,broken clouds,21.28,-89.67,Playa Linda Hotel
255,Mana,GF,77.88,clear sky,5.66,-53.78,LE SAMANA
260,Vanimo,PG,84.67,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
263,Sorong,ID,82.99,broken clouds,-0.88,131.25,The Waigo Hotel
271,Caracuaro,MX,78.31,clear sky,19.01,-101.13,Hotel Juana
275,Mahebourg,MU,75.2,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
277,Sampit,ID,83.98,moderate rain,-2.53,112.95,Aquarius Boutique Hotel Sampit
278,Nicoya,CR,78.8,clear sky,10.15,-85.45,Guayacan Real
296,Acapulco,MX,82.4,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
297,Neiafu,TO,82.4,moderate rain,-18.65,-173.98,Mystic Sands
304,Luanda,AO,78.8,broken clouds,-8.84,13.23,EPIC SANA Luanda
306,Labuhan,ID,84.85,few clouds,-6.88,112.21,bador sepret
310,Kieta,PG,85.98,light rain,-6.22,155.63,
311,Sinnamary,GF,78.06,few clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
316,Akropong,GH,80.6,clear sky,5.97,-0.09,Vip Lodge
317,Tarakan,ID,80.62,overcast clouds,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
318,Lahaina,US,80.6,scattered clouds,20.88,-156.68,Lahaina Shores Beach Resort
325,Maragogi,BR,76.93,broken clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
327,Champerico,GT,82.4,broken clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
335,Kulhudhuffushi,MV,82.96,clear sky,6.62,73.07,Haajy Guest House 1
339,Beberibe,BR,82.4,broken clouds,-4.18,-38.13,Villa Arte Pousada Morro Branco
351,Kavaratti,IN,82.22,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
353,Illela,NG,76.26,clear sky,13.73,5.3,
354,Cockburn Town,TC,78.55,few clouds,21.46,-71.14,Osprey Beach Hotel
357,Palauig,PH,86.59,broken clouds,15.44,119.9,Myhousebythesea
363,Kui Buri,TH,80.6,few clouds,12.08,99.85,ริสต้า รีสอร์ท
368,Tolu,CO,79.27,moderate rain,9.52,-75.58,Hotel Montecarlo
372,Santa Rosa,PH,82.99,broken clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
378,Kloulklubed,PW,87.8,broken clouds,7.04,134.26,Storyboard Beach Resort
384,Ifo,NG,76.64,overcast clouds,6.81,3.2,Peace Land Hotel
387,San Juan,AR,82.04,clear sky,-31.54,-68.54,Hotel Provincial
388,Ixtapa,MX,78.8,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
391,Bela Vista,BR,78.94,broken clouds,-22.11,-56.52,Bella Vista Palace Hotel
394,Quatre Cocos,MU,75.2,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
397,Tautira,PF,86.0,broken clouds,-17.73,-149.15,Pension Oaoa
405,Davila,PH,82.4,moderate rain,18.47,120.58,SITIO 3 DAVILA PASUQUIN
410,Cairns,AU,87.8,broken clouds,-16.92,145.77,Mantra Trilogy Cairns
411,Inirida,CO,76.24,overcast clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
413,Pontianak,ID,79.65,overcast clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
418,Hobyo,SO,78.76,scattered clouds,5.35,48.53,Halane Hotel and Restaurent
420,Ygatimi,PY,76.01,clear sky,-24.08,-55.5,
423,Dabakala,CI,76.23,scattered clouds,8.37,-4.43,Hôtel Campement
427,Angoche,MZ,77.4,clear sky,-16.23,39.91,Guest House HESADA
431,Papar,MY,84.2,few clouds,5.73,115.93,Pandan Hotel
434,Biak,ID,81.91,moderate rain,-0.91,122.88,Kost Ariz
436,Siocon,PH,87.21,scattered clouds,7.71,122.14,MSWDO
442,Kudahuvadhoo,MV,82.0,light rain,2.67,72.89,Kudahuvadhoo Retreat
443,Bairiki,KI,86.0,broken clouds,1.33,172.98,Tarawa Boutique Hotel
446,Kpandae,GH,76.95,clear sky,8.47,-0.01,S. Amaski Guest House
457,Bonfim,BR,80.04,broken clouds,3.08,-59.95,
465,Polewali,ID,87.71,broken clouds,-3.43,119.34,Lilianto Hotel
477,Villa Maria,AR,80.01,clear sky,-32.41,-63.24,Hotel Milenium
478,Caucaia,BR,82.4,broken clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
479,Anloga,GH,80.6,few clouds,5.79,0.9,Pin Drop Hotel
480,Ahuimanu,US,82.4,broken clouds,21.44,-157.84,Paradise Bay Resort
483,Mandera,KE,80.11,few clouds,3.94,41.87,Kornesh Hotel and Lodging
486,Kandi,BJ,78.24,broken clouds,11.13,2.94,Maison des producteurs kandi
488,Kualakapuas,ID,78.8,few clouds,-3.01,114.39,Guest House Izonk
495,Morondava,MG,75.88,clear sky,-20.28,44.28,La Case Bambou
497,Axim,GH,78.04,broken clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
501,Buala,SB,86.77,light rain,-8.14,159.59,Maringe Lagoon Lodge
503,Merauke,ID,86.0,overcast clouds,-8.47,140.33,
520,Port Pirie,AU,87.8,scattered clouds,-33.18,138.02,John Pirie Motor Inn
522,The Valley,AI,79.0,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
525,Dalby,AU,86.0,clear sky,-27.18,151.27,Kobbers Motor Inn Dalby
526,Manaquiri,BR,78.8,thunderstorm,-3.32,-60.35,
527,San Patricio,US,77.0,overcast clouds,28.02,-97.52,"Motel 6 Sinton, TX"
531,Port Moresby,PG,87.8,haze,-9.44,147.18,Lamana Hotel
538,Ugoofaaru,MV,82.87,few clouds,5.67,73.0,Ungoofaaru Inn
543,Lafiagi,NG,78.22,overcast clouds,8.87,5.42,Bus group international
546,Tagusao,PH,85.19,moderate rain,9.19,117.81,Toledo
547,Moree,AU,89.6,overcast clouds,-29.47,149.85,Molika Springs Motel
553,Poum,NC,76.08,broken clouds,-20.23,164.02,Gîte kajeon
554,Neuquen,AR,75.2,clear sky,-38.95,-68.06,Hotel del Comahue
557,Lazaro Cardenas,MX,77.36,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
559,Butterworth,MY,80.6,few clouds,5.4,100.36,Cititel Penang
566,Calabozo,VE,75.79,overcast clouds,8.92,-67.43,Hotel Giardini
569,Sola,VU,87.8,broken clouds,-13.88,167.55,Ulkel Guest House
573,Kathu,TH,82.99,few clouds,7.92,98.33,Novotel Phuket Resort
574,Acarau,BR,80.35,scattered clouds,-2.89,-40.12,castelo pizzaria
578,Alcantara,BR,80.6,few clouds,-2.41,-44.41,Pousada da Josefa
597,Thinadhoo,MV,81.95,clear sky,0.53,72.93,
600,Uruguaiana,BR,78.8,clear sky,-29.75,-57.09,Fares Turis Hotel
608,Male,MV,82.4,scattered clouds,4.17,73.51,Hotel Octave Maldives
609,Alofi,NU,84.2,scattered clouds,-19.06,-169.92,Taloa Heights
621,Dicabisagan,PH,78.94,overcast clouds,17.08,122.42,Nancy Montanes Bernardo
624,Gamba,GA,76.05,heavy intensity rain,-2.65,10.0,
630,Lat Yao,TH,76.78,overcast clouds,15.75,99.79,ห้างหุ้นส่วนจำกัด ลาดยาวการเกษตร
635,Honiara,SB,89.6,broken clouds,-9.43,159.95,Heritage Park Hotel
646,Pringsewu,ID,84.9,broken clouds,-5.36,104.97,Urban Style by Front One
648,Gizo,SB,86.29,scattered clouds,-8.1,156.84,Imagination Island
649,Sabang,ID,81.34,moderate rain,5.89,95.32,Hotel Citra
651,Sitio Novo Do Tocantins,BR,77.38,light rain,-5.52,-47.46,Imperial Hotel
653,Det Udom,TH,80.01,broken clouds,14.91,105.08,Chatsuda Resort
654,Kirakira,SB,85.51,light rain,-10.45,161.92,SanBiz Lodge
657,Paka,MY,84.2,scattered clouds,4.64,103.44,Rumbia Resort Villa Paka Terengganu
660,Bucerias,MX,78.8,few clouds,20.75,-105.33,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
676,Bida,NG,78.24,scattered clouds,9.08,6.02,Royal Suite
677,Villa Carlos Paz,AR,81.0,clear sky,-31.42,-64.5,Monte Carlo
682,Bac Lieu,VN,80.85,clear sky,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
684,Lakes Entrance,AU,82.99,moderate rain,-37.88,147.98,The Esplanade Resort & Spa
685,Boca Do Acre,BR,77.18,overcast clouds,-8.75,-67.4,Hotel Linhares
686,Poya,NC,80.85,broken clouds,-21.35,165.15,
687,Kimbe,PG,89.4,light rain,-5.55,150.14,Kimbe Bay Hotel
